CMDLINE D:\Environments\venv\Scripts\python.exe model_trainer.py
MEM 1.804688 1708270721.3582
MEM 3.371094 1708270721.4640
MEM 3.371094 1708270721.5741
MEM 3.371094 1708270721.6846
MEM 3.371094 1708270721.7949
MEM 3.371094 1708270721.9036
MEM 3.371094 1708270722.0146
MEM 3.371094 1708270722.1251
MEM 3.371094 1708270722.2349
MEM 3.371094 1708270722.3458
MEM 3.371094 1708270722.4563
MEM 3.371094 1708270722.5659
MEM 3.371094 1708270722.6749
MEM 3.371094 1708270722.7856
MEM 3.371094 1708270722.8952
MEM 3.371094 1708270723.0045
MEM 3.371094 1708270723.1143
MEM 3.371094 1708270723.2224
MEM 3.371094 1708270723.3322
MEM 3.371094 1708270723.4423
MEM 3.371094 1708270723.5511
MEM 3.371094 1708270723.6598
MEM 3.371094 1708270723.7678
MEM 3.371094 1708270723.8773
MEM 3.371094 1708270723.9864
MEM 3.371094 1708270724.0948
MEM 3.371094 1708270724.2047
MEM 3.371094 1708270724.3145
MEM 3.371094 1708270724.4254
MEM 3.371094 1708270724.5349
MEM 3.371094 1708270724.6442
MEM 3.371094 1708270724.7525
MEM 3.371094 1708270724.8630
MEM 3.371094 1708270724.9704
MEM 3.371094 1708270725.0806
MEM 3.371094 1708270725.1885
MEM 3.371094 1708270725.2967
MEM 3.371094 1708270725.4042
MEM 3.371094 1708270725.5117
MEM 3.371094 1708270725.6213
MEM 3.371094 1708270725.7315
MEM 3.371094 1708270725.8405
MEM 3.371094 1708270725.9497
MEM 3.371094 1708270726.0595
MEM 3.371094 1708270726.1693
MEM 3.371094 1708270726.2791
MEM 3.371094 1708270726.3888
MEM 3.371094 1708270726.4980
MEM 3.371094 1708270726.6065
MEM 3.371094 1708270726.7165
MEM 3.371094 1708270726.8251
MEM 3.371094 1708270726.9342
MEM 3.371094 1708270727.0435
MEM 3.371094 1708270727.1520
MEM 3.371094 1708270727.2620
MEM 3.371094 1708270727.3730
MEM 3.371094 1708270727.4832
MEM 3.371094 1708270727.5928
MEM 3.371094 1708270727.7024
MEM 3.371094 1708270727.8126
MEM 3.371094 1708270727.9212
MEM 3.371094 1708270728.0305
MEM 3.371094 1708270728.1396
MEM 3.371094 1708270728.2488
MEM 3.371094 1708270728.3595
MEM 3.371094 1708270728.4697
MEM 3.371094 1708270728.5788
MEM 3.371094 1708270728.6884
MEM 3.371094 1708270728.7982
MEM 3.371094 1708270728.9071
MEM 3.371094 1708270729.0163
MEM 3.371094 1708270729.1268
MEM 3.371094 1708270729.2354
MEM 3.371094 1708270729.3406
MEM 3.371094 1708270729.4448
MEM 3.371094 1708270729.5489
MEM 3.371094 1708270729.6531
MEM 3.371094 1708270729.7573
MEM 3.371094 1708270729.8615
MEM 3.371094 1708270729.9657
MEM 3.371094 1708270730.0780
MEM 3.371094 1708270730.1877
MEM 3.371094 1708270730.2975
MEM 3.371094 1708270730.4073
MEM 3.371094 1708270730.5171
MEM 3.371094 1708270730.6269
MEM 3.371094 1708270730.7367
MEM 3.371094 1708270730.8464
MEM 3.371094 1708270730.9557
MEM 3.371094 1708270731.0654
MEM 3.371094 1708270731.1752
MEM 3.371094 1708270731.2876
MEM 3.371094 1708270731.3974
MEM 3.371094 1708270731.5070
MEM 3.371094 1708270731.6130
MEM 3.371094 1708270731.7247
MEM 3.371094 1708270731.8286
MEM 3.371094 1708270731.9315
MEM 3.371094 1708270732.0364
MEM 3.371094 1708270732.1410
MEM 3.371094 1708270732.2509
MEM 3.371094 1708270732.3607
MEM 3.371094 1708270732.4704
MEM 3.371094 1708270732.5802
MEM 3.371094 1708270732.6905
MEM 3.371094 1708270732.8003
MEM 3.371094 1708270732.9106
MEM 3.371094 1708270733.0203
MEM 3.371094 1708270733.1301
MEM 3.371094 1708270733.2399
MEM 3.371094 1708270733.3497
MEM 3.371094 1708270733.4594
MEM 3.371094 1708270733.5692
MEM 3.371094 1708270733.6790
MEM 3.371094 1708270733.7891
MEM 3.371094 1708270733.8989
MEM 3.371094 1708270734.0087
MEM 3.371094 1708270734.1184
MEM 3.371094 1708270734.2282
MEM 3.371094 1708270734.3380
MEM 3.371094 1708270734.4478
MEM 3.371094 1708270734.5576
MEM 3.371094 1708270734.6674
MEM 3.371094 1708270734.7772
MEM 3.371094 1708270734.8878
MEM 3.371094 1708270734.9980
MEM 3.371094 1708270735.1078
MEM 3.371094 1708270735.2170
MEM 3.371094 1708270735.3173
MEM 3.371094 1708270735.4271
MEM 3.371094 1708270735.5369
MEM 3.371094 1708270735.6467
MEM 3.371094 1708270735.7568
MEM 3.371094 1708270735.8666
MEM 3.371094 1708270735.9764
MEM 3.371094 1708270736.0861
MEM 3.371094 1708270736.1963
MEM 3.371094 1708270736.3061
MEM 3.371094 1708270736.4162
MEM 3.371094 1708270736.5264
MEM 3.371094 1708270736.6357
MEM 3.371094 1708270736.7458
MEM 3.371094 1708270736.8556
MEM 3.371094 1708270736.9654
MEM 3.371094 1708270737.0752
MEM 3.371094 1708270737.1850
MEM 3.371094 1708270737.2876
MEM 3.371094 1708270737.3977
MEM 3.371094 1708270737.5078
MEM 3.371094 1708270737.6173
MEM 3.371094 1708270737.7270
MEM 3.371094 1708270737.8368
MEM 3.371094 1708270737.9466
MEM 3.371094 1708270738.0566
MEM 3.371094 1708270738.1668
MEM 3.371094 1708270738.2770
MEM 3.371094 1708270738.3868
MEM 3.371094 1708270738.4972
MEM 3.371094 1708270738.6074
MEM 3.371094 1708270738.7172
MEM 3.371094 1708270738.8269
MEM 3.371094 1708270738.9367
MEM 3.371094 1708270739.0465
MEM 3.371094 1708270739.1564
MEM 3.371094 1708270739.2660
MEM 3.371094 1708270739.3698
MEM 3.371094 1708270739.4796
MEM 3.371094 1708270739.5894
MEM 3.371094 1708270739.6995
